id,name,mark_id
3656,Starlet,260
3661,Supra,260
3664,Tercel,260
3669,Verossa,260
3670,"Князь Владимир 2142-179",316
3671,Vista,260
3674,"Князь Владимир 214221-149",316
3678,Vitz,260
3681,Windom,260
3684,"Rocsta R2",12
3685,Yaris,260
3687,"Yaris Verso",260
3695,"P 601",261
3704,"Panamera S E-Hybrid",208
3706,"Panamera 4S Executive",208
3708,"Panamera Turbo Executive",208
3716,"EB Veyron 16.4 SS",36
3718,"Vibe GT",207
3721,TR8,263
3758,"Voyager Grand Voyager",206
3760,"X300 Super Eight",64
3764,3159,336
3766,3153,336
3768,3160,336
3774,"3162 Simbir",336
3782,469,336
3792,"Rodeo Sport",121
3817,2101,288
3822,2102,288
3826,2103,288
3830,2104,288
3838,2105,288
3845,2106,288
3850,2107,288
3857,2108,288
3863,2109,288
3871,2110,288
3882,2111,288
3891,2112,288
3897,2113,288
3899,2114,288
3901,2115,288
3906,"2120 Надежда",288
3910,"1111 Ока 11116",232
3912,"1111 Ока 1111",232
3914,"1111 Ока 11113",232
3915,2123,288
3917,"2131 (4x4)",288
3921,2328,288
3930,"5er M550d xDrive",30
3948,181,273
3954,Corrado,273
3959,Golf,273
3970,"Golf Plus",273
3976,Iltis,273
3979,"Type 1",273
3981,Lupo,273
3983,Beetle,273
3986,"4er 428",30
3987,Passat,273
3990,"4er 435",30
3996,"4er 420",30
4002,"4er 430",30
400200,Phaeton,273
4004,Polo,273
4019,Santana,273
4020,Scirocco,273
4024,Sharan,273
4029,Touareg,273
4033,Touran,273
4036,Vento,273
4042,"Insignia Insignia Country Tourer",197
4043,"300 Series",274
4046,440,274
4048,460,274
4052,740,274
4055,760,274
4060,850,274
4063,940,274
4074,S40,274
4076,"Passat Alltrack",273
4077,S60,274
4078,"Kangoo Trekka",217
4080,S70,274
408000,"Lancer Cedia",181
4082,S80,274
4085,S90,274
4087,V40,274
4089,V90,274
408900,"LS 600h",152
4091,"Wagon R+ Solio",247
409100,XC90,274
4106,"1102 «Таврия»",296
4108,"1103 «Славута»",296
4113,V70,274
4118,348,79
4119,"Forester STi",246
4122,360,79
4127,"Kangoo Be Bop",217
4135,XK,125
4136,"Citan 108 CDI",170
413600,"Vito 108 CDI",170
4137,"Vito 109 CDI",170
413700,"Citan 109 CDI",170
4138,"Vito 111 CDI",170
4144,RAM,71
4145,Ramcharger,71
4150,Kadett,197
4165,Maxima,191
4166,"Equus Limousine",109
4168,"Santa Fe Grand Santa Fe",109
4173,Patrol,191
4182,Vanette,191
4183,"2er 220",30
4184,Datsun,191
4185,"2er M235i",30
4191,"Z4 35is",30
4194,"X6 ActiveHybrid",30
4204,"F-Type R",125
4207,"Hatch John Cooper Works GP",177
4213,"500 Abarth",80
4216,"Panamera Turbo S Executive",208
4217,"Deer G1",95
4218,"Deer G2",95
4219,"Deer G3",95
4221,"Deer G5",95
4223,HiAce,260
4225,LiteAce,260
4227,WiLL,260
